titulo,descricao,id_video,canal
Europa está mais perto de uma guerra direta com a Rússia?,"Era de caos, tempos de pré-guerra, guerra fria 2.0. Cada vez mais surgem termos que tentam definir estes novos tempos de ...",UtVb3ySzQmE,DW Brasil
Rússia diz que está em &quot;confronto direto&quot; com a Otan | CNN PRIME TIME,Moscou disse nesta quinta-feira (04) que a Rússia e a Otan estão agora em um conflito direto. A declaração acontece no dia em ...,wisWRMmmoRc,CNN Brasil
"‘Ucrânia perderá a guerra’ se Congresso dos EUA não aprovar ajuda, alerta Zelensky | AFP","O Presidente da Ucrânia, Volodimir Zelensky, afirmou no domingo que seu país vai perder a guerra contra a Rússia se o ...",xt7wdEonpJU,AFP Português
“Britânicos e franceses já estão na Ucrânia lançando mísseis contra a Rússia!” Chanceler Olaf Scholz,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,PtOO8qcxJrY,Hoje no Mundo Militar
"“Se a Rússia lançar uma nova ofensiva no verão, a linha de frente colapsará!” – Ucrânia",ThaBel – Bota ThunderBel Alfa: https://www.thabel.com.br/hojenomundomilitar Cupom Exclusivo de Desconto: ...,P2fTbYhDavU,Hoje no Mundo Militar
"Se os EUA abandonarem a Ucrânia e Putin vencer, o que acontecerá com o mundo?",Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,j4xvOHqpi4s,Hoje no Mundo Militar
Hoje: guerra na Ucrânia completa dois anos | AGORA CNN,"A guerra na Ucrânia completa dois anos neste sábado (24), com o avanço das tropas russas e um impasse nos Estados Unidos ...",dpBbwle03NA,CNN Brasil
Rússia: Ucrânia atacou usina nuclear (Zaporizhia)! Zelensky - vamos perder a guerra! EUA financiará?,Chave PIX: ricardomarciliom@gmail.com Plataforma Sfera - Prof. Ricardo Marcilio http://www.plataformasfera.com.br Israel afirma ...,d0crwMN-4ZI,Professor Ricardo Marcílio
Vídeo mostra drone ucraniano lançando bomba sobre soldados russos | CENAS DA GUERRA,"Imagens mostram drone lançando bomba sobre um grupo de soldados russos, em localização e data desconhecidas.",aitGaXdSdi4,Folha de S.Paulo
Ucrânia diz ter destruído navio de guerra da Rússia avaliado em R$ 321 milhões,O Departamento de Defesa da Ucrânia divulgou nesta terça (5) imagens do que diz ser o ataque a um navio de guerra da Rússia ...,mZvDI1wPS0k,Folha de S.Paulo
GUERRA RUSIA - UCRANIA | Zelenski confía en derrotar al Kremlin con ayuda de Occidente,"Canal26 El presidente de Ucrania, Vladímir Zelenski, ha afirmado en una entrevista que Kiev ha elaborado un plan para una ...",boHubE0_MTI,Canal 26
Guerra: Ucrânia divulga vídeo de militares russos mortos e armas destruídas,A conta oficial do governo da Ucrânia divulgou imagens de armas destruídas e militares das tropas russas mortos em Gostomel.,WEhKWpO3_kU,UOL
500 blindados e 40 mil soldados – Próximo alvo de Putin na Ucrânia: Kharkiv,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,DmFZhFGgBAM,Hoje no Mundo Militar
“Já há soldados da OTAN na Ucrânia!”,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,eO97tVIip7Q,Hoje no Mundo Militar
Ucrânia diz que Rússia supera munições do país em uma proporção de 6 para 1 | AFP,A Rússia está superando as forças ucranianas em uma proporção de seis para um. A afirmação foi feita pelo recém-nomeado ...,J0xA1AzxCzI,AFP Português
"“Se enviarmos tropas para a Ucrânia, os primeiros serão legionários” - A Legião Estrangeira Francesa",Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,CxWHCc64IM0,Hoje no Mundo Militar
As guerras infinitas – O perigoso precedente criado por Putin na Ucrânia,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,RnoZUzG9Ox4,Hoje no Mundo Militar
Alemanha projeta cenários de vitória da Rússia e 3ª Guerra Mundial | Jornal da Band,Alemanha projeta cenários de vitória da Rússia sobre Ucrânia e até de Terceira Guerra Mundial. Canal Principal ...,10Fa_o6uQvI,Band Jornalismo
Entenda o atual cenário da guerra na Ucrânia,"O presidente russo, Vladimir Putin, afirmou que a Rússia está tecnicamente preparada para uma guerra nuclear. Putin disse que ...",JS68yu-gfb4,Record News
Rússia usa bombas guiadas contra alvos na Ucrânia | CENAS DA GUERRA,O Ministério da Defesa da Rússia divulgou nesta segunda (11) imagens do avião rSu-34 lançando bombas com kit planador em ...,nfaqc1K5HDI,Folha de S.Paulo
Ucrânia usa avião convertido em drone &#39;kamikaze&#39; para atacar refinaria russa,Ucrânia usa avião convertido em drone 'kamikaze' para atacar refinaria russa. O drone ucraniano atingiu a terceira maior ...,JsU6tgT-aKo,Terra Brasil
Guerra na Ucrânia completa dois anos neste sábado,A guerra na Ucrânia completa dois anos neste sábado (24). Apesar das atenções internacionais estarem divididas com o conflito ...,DoOZ-EwXUc4,Record News
2 anos da Guerra na Ucrânia: a vida no vilarejo que ficou povoado por órfãos após ataque,"O adolescente Dima perdeu a mãe, o pai e dois avós em um ataque com mísseis ao vilarejo de Hroza, no nordeste da Ucrânia.",z2U5Q-tvuK8,BBC News Brasil
"Putin ofereceu terminar a guerra na Ucrânia, mas Zelensky recusou – Por quê?",ThaBel – Bota ThunderBel Alfa: https://www.thabel.com.br/ Cupom Exclusivo de Desconto: HOJENOMUNDOMILITAR Black ...,ViHtw3yKvUY,Hoje no Mundo Militar
GUERRA NA UCRÂNIA: míssil russo cai a metros de Zelensky e premiê grego; cinco civis mortos,"Em Odessa, sul da Ucrânia, um míssil russo caiu a apenas alguns quarteirões da comitiva do presidente Volodymyr Zelensky.",8GUGBrvRgxI,TV Cultura
Rússia alerta Otan para conflito “inevitável” caso tropas europeias sejam enviadas à Ucrânia | LIVE,"O Kremlin alertou, nesta terça-feira (27), que o conflito entre a Rússia e a aliança militar da Otan se tornaria inevitável se os ...",ItnXDA2MeLU,CNN Brasil
Rússia bombardeia país vizinho após atentado em Moscou,"Após o ataque na casa de shows, um dos homens fortes da rússia declarou que se for comprovado algum envolvimento ...",otKMim1UG5k,Record News
"Rússia acusa EUA, Reino Unido e Ucrânia por ataque | CNN PRIME TIME","A Rússia acusou os Estados Unidos, Reino Unido e Ucrânia de estarem por trás do ataque terrorista que deixou mais de 130 ...",5rQdzM1CFkY,CNN Brasil
Rússia anuncia maior vitória militar sobre a Ucrânia,"Tropas ucranianas se retiraram da devastada cidade de Avdiivka, na região de Donetsk. Inscreva-se no canal da Record News ...",cWeGH1MmDpc,Record News
"Rússia divulga imagens da destruição em Bakhmut, cidade sob disputa no leste da Ucrânia","Imagens divulgadas pela agência estatal russa Ria Novosti exibem o grau de destruição da cidade de Bakhmut, no leste da ...",k0AIVoJYPrk,Folha de S.Paulo
GUERRA NA UCRÂNIA:  Europa vive momento de ALERTA após invasão russa,"A Europa vive um momento de apreensão. O fantasma da guerra, outrora adormecido, despertou com a invasão da Ucrânia pela ...",02Wf8OoiATc,Jornalismo TV Cultura
Guerra na Ucrânia: Brasileiros fazem vídeos de confrontos em área de mata,Ex-militares do exército brasileiro registraram confronto em área de mata em vídeo exibido no Instagram.,MSRoyQTDdAQ,UOL
Ucrânia realiza ataques no segundo dia de votação das eleições presidenciais na Rússia,A Ucrânia realizou ataques com drones e mísseis contra o território russo provocando a morte de pelo menos duas pessoas.,PFf83LogwZs,Jornal da Record
Rússia corta exportações de combustível – A Ucrânia sufocando a fonte de renda da invasão de Putin,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,XwxdiTXoIt0,Hoje no Mundo Militar
O F-35 na defesa da Ucrânia,INSIDER: https://www.insiderstore.com.br/HojeNoMundoMilitar15 Cupom 15% de Desconto: MUNDOMILITAR15 Siga o Hoje no ...,yHn9Q5lvTJM,Hoje no Mundo Militar
Ucrânia ataca navio russo na Crimeia | Jornal da Band,A Ucrânia atacou um navio russo que estaria carregado de armas. Guerra na Europa completará dois anos em fevereiro.,X5x96ylVMck,Band Jornalismo
EUA pedem para Ucrânia parar de atacar as refinarias russas,ThaBel – Bota ThunderBel Alfa: https://www.thabel.com.br/hojenomundomilitar Cupom Exclusivo de Desconto: ...,8uxJITiwNHU,Hoje no Mundo Militar
Ucrânia diz que Rússia supera munições do país em uma proporção de 6 para 1 | AFP,A Rússia está superando as forças ucranianas em uma proporção de seis para um. A afirmação foi feita pelo recém-nomeado ...,J0xA1AzxCzI,AFP Português
A TERCEIRA GUERRA MUNDIAL JÁ COMEÇOU? | Professor HOC,"O mundo está em um momento de grande tensão. A guerra na Ucrânia, a ascensão de regimes autoritários e a proliferação de ...",uvnBt5Qsfh4,Professor HOC
Rússia lança 150 mísseis e drones contra a Ucrânia e admite estado de guerra,"A Rússia lançou cerca de 150 mísseis e drones contra a Ucrânia, nesta sexta-feira, no segundo dia consecutivo de ataques ...",wWpxjZOawoE,exame
Rússia reconhece que está em &#39;estado de guerra&#39; na Ucrânia | AFP,"A Rússia está em ""estado de guerra"" na Ucrânia, admitiu o porta-voz do Kremlin nesta sexta-feira (22), após insistir em ...",c66jxc-YndE,AFP Português
Rússia DESTRÓI HIMARS da Ucrânia | Inferno no HAITI | Guerra em ISRAEL,HIMARS confirmado como destruído pelas forças russas na Ucrânia. Construção do píer em Israel. Perigo cada vez maior no ...,A9vEYE-LU5E,Sala de Guerra 2
Rússia estreia tanque kamikaze na Guerra da Ucrânia; veja vídeo,A Rússia usou pela primeira vez os tanques kamikaze na Guerra da Ucrânia. Funciona assim: soldados colocam munição nos ...,AnjWwmOuENk,UOL
Rússia alerta Otan para conflito “inevitável” caso tropas europeias sejam enviadas à Ucrânia | LIVE,"O Kremlin alertou, nesta terça-feira (27), que o conflito entre a Rússia e a aliança militar da Otan se tornaria inevitável se os ...",ItnXDA2MeLU,CNN Brasil
Os 600 dias da invasão russa da Ucrânia – A “guerra sem fim” da Rússia está apenas começando?,Proteja a sua marca! MoveOn Marcas: https://registro.moveonmarcas.com.br/hoje-no-mundo-militar/ WhatsApp Move On: ...,MIEur0nJwQg,Hoje no Mundo Militar
A Rússia venceu a Ucrânia é questão de tempo para o fim | Geopolítica |,"Este vídeo oferece uma análise detalhada e atualizada da guerra na Ucrânia em 2024, mergulhando nos últimos ...",pFOzHw0E3sc,Prof. JeanGrafia | GabaritaGeo | 
"Rússia divulga imagens da destruição em Bakhmut, cidade sob disputa no leste da Ucrânia","Imagens divulgadas pela agência estatal russa Ria Novosti exibem o grau de destruição da cidade de Bakhmut, no leste da ...",k0AIVoJYPrk,Folha de S.Paulo
Ucrania lança drones contra Moscou! Shoigu na Crimeia: “melhorar nossa defesa”! BRICS com Houthis?,Plataforma Sfera - Professor Ricardo Marcilio http://www.profricardomarcilio.com.br Ucrânia lança ataque de drones contra ...,BnRfWtkapQg,Professor Ricardo Marcílio
Documentos secretos da Alemanha antecipam conflito entre Rússia e países da OTAN em 2025,"A Alemanha traçou os próximos passos do exército de Vladimir Putin e previu um conflito entre a Rússia e os países da OTAN, ...",RT97hwixQEc,Jornal da Record
Entenda o at@que à Rússia! Causas e consequências! Ucrania envolvida? Putin: “eles pagarão”!,"Chave PIX: ricardomarciliom@gmail.com Curso de Geografia, Geopolítica e Atualidades: http://www.profricardomarcilio.com.br ...",dm2A4d0iEoA,Professor Ricardo Marcílio
“A Ucrânia precisa da coragem da bandeira branca para negociar” O que o Papa quer dizer com isso?,Move On Marcas – Criação de Sites: https://whts.co/hnmm-site-qrcode Siga o Hoje no Mundo Militar no Spotify: ...,5XRq6lLuOU0,Hoje no Mundo Militar
"“Não há como a Rússia ser derrotada na Ucrânia”, Elon Musk – Até que ponto isso é verdade?",Proteja a sua marca! MoveOn Marcas: https://lp.moveonmarcas.com.br/registro-hnmm WhatsApp Move On: ...,Hq5R4e0iJvk,Hoje no Mundo Militar
Ucrânia realiza ataques no segundo dia de votação das eleições presidenciais na Rússia,A Ucrânia realizou ataques com drones e mísseis contra o território russo provocando a morte de pelo menos duas pessoas.,PFf83LogwZs,Jornal da Record
#18 Dois anos da guerra na Ucrânia: o que está em jogo hoje? | Dois Pontos,A guerra na Ucrânia entra no segundo ano com mais de dez mil civis mortos e linhas de batalha praticamente inalteradas: a ...,1FBMtKPvMlY,Estadão
Trump diz que acabaria com a guerra da Ucrânia em um dia: “Sei o que dizer a eles” | CNN 360º,"O ex-presidente dos Estados Unidos Donald Trump afirmou, em evento no sábado (4), que encerraria a guerra entre Rússia e ...",DRm3Jix0g8g,CNN Brasil
Ucrânia ataca cidade russa e duas pessoas morrem,"Vários ataques foram registrados na Rússia neste sábado (16). Na cidade de Belgorod, na fronteira com a Ucrânia, duas ...",1nOC8Uw_S8o,Record News
Rússia perdeu o seu mais caro e importante avião – Por que o A-50 é tão vital para Putin?,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,Li-hY_bmo08,Hoje no Mundo Militar
Otan quer pacote de ajuda à Ucrânia &quot;à prova de Trump&quot; | CNN 360º,"Ministros de vários países que integram a Otan, a aliança militar do Atlântico Norte, se reuniram na Bélgica para tentar aprovar ...",iJAZEf9b7yA,CNN Brasil
Diplomatas brasileiros veem perda de território ucraniano como inevitável para fim da guerra | LIVE,"O governo brasileiro não fala diretamente que a paz pode passar pela derrota da Ucrânia, mas diferentes fontes diplomáticas ...",KmiiKmv2r1A,CNN Brasil
Ataques ucranianos contra a Rússia intensificam-se,"Enquanto a Rússia continua a atacar a Ucrânia, ataques ucranianos com drones e mísseis contra território russo intensificam-se.",RBjuPMBg5EI,Euronews em Português
5 CENÁRIOS DE UM ATAQUE NUCLEAR RUSSO | Cortes HOC,,-vnJ_jzHIq0,Professor HOC
Ucrania x Russia  - Entenda o conflito desde os seus primórdios (RESUMO),"Neste vídeo animado você entenderá o Conflito Ucrania X Russia desde os seus primórdios, de forma resumida e objetiva.",vTYENNtoWsc,geo ilustrada
“Não sejam covardes! Putin precisa ser derrotado na Ucrânia!” Emmanuel Macron,ThaBel – Bota ThunderBel: https://www.thabel.com.br/hojenomundomilitar Cupom Exclusivo de Desconto: ...,fz616grA51o,Hoje no Mundo Militar
Guerra na Ucrânia: Imagens aéreas mostram tanques russos sendo destruídos em Vuhledar,Imagens aéreas mostram tanques russos e outros veículos blindados sendo destruídos por ataques ucranianos perto de ...,K08e4SpbJRM,UOL
"Rússia, China e Coreia do Norte alertam para iminência da 3ª GM",Proteja a sua marca! MoveOn Marcas: https://lp.moveonmarcas.com.br/registro-hnmm WhatsApp Move On: ...,QBcn3ESZDfI,Hoje no Mundo Militar
Macron alerta contra Rússia culpar Ucrânia sobre ataque | LIVE CNN,"Após o presidente russo Vladimir Putin sugerir uma ligação entre a Ucrânia e o ataque terrorista em Moscou da última sexta (22), ...",peWEblxkQsE,CNN Brasil
Míssil russo invade Polônia! - “queremos explicações”! Ucrânia faz forte ofensiva na Crimeia!,"Chave PIX: ricardomarciliom@gmail.com Curso de Geografia, Geopolítica e Atualidades: http://www.profricardomarcilio.com.br ...",snwbn0FToRw,Professor Ricardo Marcílio
GUERRA ENTRE RÚSSIA E UCRÂNIA ESTÁ PRÓXIMA DO FIM? URIÃ FANCELLI ANALISA,"Com um novo pedido de US$ 60 bilhões ao governo americano para continuar os contra-ataques à Rússia, a Ucrânia ainda tem ...",FiOBQpA21d4,Pânico Jovem Pan
GUERRA UCRANIA | Kiev alista reclutas rusos en su batallón siberiano y Moscú mata a tres en Járkov,Rusos inconformes con el régimen de Vladímir Putin optan por alistarse en el ejército de Ucrania. El cuerpo militar que conforma ...,gpYLjaBSzes,EL PAÍS
Putin sugere acordo com Ocidente para pôr fim à guerra com Ucrânia | SBT Brasil (09/02/24),Vladimir Putin disse que é impossível derrotar a Rússia na Ucrânia e sugeriu um acordo com o Ocidente para pôr fim à guerra.,ALXKbndcYj4,SBT News
Rússia: “agora estamos em guerra!” - O que muda?! China e Rússia vetam cessar-fogo em Gaza na ONU!,"Chave PIX: ricardomarciliom@gmail.com Curso de Geografia, Geopolítica e Atualidades: http://www.profricardomarcilio.com.br ...",jSACppr7qDc,Professor Ricardo Marcílio
Análise: O crescimento da Otan em meio à guerra na Ucrânia | WW,A Suécia entrou nesta quinta-feira (07) oficialmente para a Otan. É o segundo país a se juntar às forças ocidentais desde que ...,k6ShDivsd1w,CNN Brasil
Irã e Líbano: “prontos para guerra com Israel”! ONU (com apoio do Brasil) bloqueia Israel - e agora?,Chave PIX: ricardomarciliom@gmail.com Conselho dos direitos humanos da ONJ aprova resolução contra a comercialização de ...,Y6rDrBOcwsw,Professor Ricardo Marcílio
Ucrânia x Rússia: e agora? OTAN? Estados Unidos? ONU? Brasil? Guerra Mundial? | Ricardo Marcilio,Quais são as consequências do ataque da Rússia a Ucrânia? Quais serão as medidas tomadas por Putin para dominar o ...,GPoZe7zdyXU,Professor Ricardo Marcílio
Chefe do Pentágono promete: &#39;Os Estados Unidos não vão deixar a Ucrânia fracassar&#39; | AFP,"O chefe do Pentágono, Lloyd Austin, prometeu nesta terça-feira que 'os Estados Unidos não vão deixar a Ucrânia fracassar' na ...",KVmjI1aCyMQ,AFP Português
GUERRA UCRANIA | Nueva jornada de ataques rusos en Járkov dejan cuatro muertos | EL PAÍS,Suscríbete a nuestro canal: youtube.com/@elpais Visita http://elpais.com Más vídeos de EL PAÍS: youtube.com/@elpais/videos ...,2rGKZ0r5SfM,EL PAÍS
Guerra na Ucrânia: OTAN faz maior exercício militar da história em demonstração de força à Rússia,"A Aliança Militar do Ocidente anunciou os maiores exercícios de guerra da organização em 36 anos, desde a Guerra Fria.",HolPonoJApk,TV Cultura
Guerra na Ucrânia: Exército ucraniano divulga vídeos de combate em Mariupol e disparada de mísseis,"O exército ucraniano usou as redes sociais para compartilhar imagens de equipamentos de guerra. Em um vídeo, é possível ver ...",itbJ9dEW9nk,UOL
GUERRA RUSIA - UCRANIA | Las imágenes y los hechos más relevantes de las últimas horas,Canal26 #rusia #ucrania Los combates entre las tropas de Putin y Zelenski comenzaron el 24 de febrero de 2022 y ...,G00rFkol7BE,Canal 26
Rússia reivindica conquista de outra localidade ucraniana e destruição de tanque americano | AFP,"A Rússia reivindicou nesta terça-feira a conquista de mais uma localidade no leste da Ucrânia, perto da cidade de Avdiivka.",T6L1VVELyj8,AFP Português
2 anos da guerra Rússia x Ucrânia: há chances para Zelensky!? Lula reforça fala contra Israel!,"Chave PIX: ricardomarciliom@gmail.com Após dois anos de conflito entre Rússia e Ucrânia, uma série de questões se fazem ...",iRPR_avYU9o,Professor Ricardo Marcílio
Rússia reivindica novo avanço no leste da Ucrânia | AFP,"O governo em Moscou reivindicou um novo avanço no leste da Ucrânia. Enquanto isso, o presidente da Rússia, Vladimir Putin, ...",QFMr3WyBmoQ,AFP Português
"Trump pede que Congresso bloqueie lei que prevê ajuda à Ucrânia – “Sem isso, Putin vencerá”, Ucrânia",Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,64njbGIC1BM,Hoje no Mundo Militar
“O T-14 Armata é o melhor do mundo... mas não podemos usá-lo na Ucrânia” A Rússia abandonou o T-14?,Move On Marcas – Criação de Sites: https://whts.co/hnmm-site-qrcode Siga o Hoje no Mundo Militar no Spotify: ...,-xHtIAP-P4w,Hoje no Mundo Militar
Corpos cobrem estradas que levam a cidade ucraniana | CNN PRIME TIME,"Uma reportagem da CNN revela que soldados ucranianos feridos foram deixados na cidade de Avdiivka, tomada pelo exército ...",d5jj2begM_U,CNN Brasil
"“Não há como a Rússia ser derrotada na Ucrânia”, Elon Musk – Até que ponto isso é verdade?",Proteja a sua marca! MoveOn Marcas: https://lp.moveonmarcas.com.br/registro-hnmm WhatsApp Move On: ...,Hq5R4e0iJvk,Hoje no Mundo Militar
Ucrânia libera vídeo impressionante de emboscada contra russos,As Forças de Operações Especiais da Ucrânia compartilharam na segunda-feira imagens da emboscada de um veículo militar ...,aYZM15bH2Lw,IstoÉ Publicações
Ucrânia x Rússia: e agora? OTAN? Estados Unidos? ONU? Brasil? Guerra Mundial? | Ricardo Marcilio,Quais são as consequências do ataque da Rússia a Ucrânia? Quais serão as medidas tomadas por Putin para dominar o ...,GPoZe7zdyXU,Professor Ricardo Marcílio
Rússia diz ter provas de envolvimento da Ucrânia em ataque a Moscou | AFP,O Comitê de Investigação da Rússia afirmou ter provas de envolvimento da Ucrânia no planejamento do atentado a Moscou da ...,RdDCsJq6tNo,AFP Português
2 anos da guerra Rússia x Ucrânia: há chances para Zelensky!? Lula reforça fala contra Israel!,"Chave PIX: ricardomarciliom@gmail.com Após dois anos de conflito entre Rússia e Ucrânia, uma série de questões se fazem ...",iRPR_avYU9o,Professor Ricardo Marcílio
#18 Dois anos da guerra na Ucrânia: o que está em jogo hoje? | Dois Pontos,A guerra na Ucrânia entra no segundo ano com mais de dez mil civis mortos e linhas de batalha praticamente inalteradas: a ...,1FBMtKPvMlY,Estadão
"O que esperar da guerra na Ucrânia em 2024, segundo Putin e Zelensky | AFP",O que esperar da guerra na Ucrânia em 2024? O conflito iniciado no dia 24 de fevereiro de 2022 não parece perto de acabar e ...,Pgb44yTHbys,AFP Português
Rússia perdeu o seu mais caro e importante avião – Por que o A-50 é tão vital para Putin?,Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,Li-hY_bmo08,Hoje no Mundo Militar
Rússia: “agora estamos em guerra!” - O que muda?! China e Rússia vetam cessar-fogo em Gaza na ONU!,"Chave PIX: ricardomarciliom@gmail.com Curso de Geografia, Geopolítica e Atualidades: http://www.profricardomarcilio.com.br ...",jSACppr7qDc,Professor Ricardo Marcílio
Sabe QUANTOS SOLDADOS RUSSOS foram MORTOS no CONFLITO UCRÂNIA X RÚSSIA?,"JOÃO BERCLE é instrutor de tiro, escritor e veterano dos fuzileiros navais. Ele lutou por 4 meses com o exército ucraniano contra ...",Eq24W_uDtuU,Cortes do Inteligência [OFICIAL]
Análise: O crescimento da Otan em meio à guerra na Ucrânia | WW,A Suécia entrou nesta quinta-feira (07) oficialmente para a Otan. É o segundo país a se juntar às forças ocidentais desde que ...,k6ShDivsd1w,CNN Brasil
Guerra na Ucrânia: OTAN faz maior exercício militar da história em demonstração de força à Rússia,"A Aliança Militar do Ocidente anunciou os maiores exercícios de guerra da organização em 36 anos, desde a Guerra Fria.",HolPonoJApk,TV Cultura
Diplomatas brasileiros veem perda de território ucraniano como inevitável para fim da guerra | LIVE,"O governo brasileiro não fala diretamente que a paz pode passar pela derrota da Ucrânia, mas diferentes fontes diplomáticas ...",KmiiKmv2r1A,CNN Brasil
Guerra na Ucrânia: novos ataques russos fazem pelo menos 20 feridos em 24 horas,"Os mísseis russos atingiram as regiões de Kharkiv, Odessa e Kherson, danificando infraestruturas residenciais e ferindo dezenas ...",DDw-QueqYuE,Euronews em Português
Rússia: “OTAN se prepara para guerra”! Biden critica Trump: “faz tudo por Putin”! Lula e Israel?,Tenha acesso às roupas da Insider com até 38% de desconto!!! Link: https://insiderstore.com.br/ProfRicardoMarcilio15 Cupom: ...,DdeZPH9AZAE,Professor Ricardo Marcílio
O assalto ucraniano à trincheira russa – O que realmente aconteceu ali?,ThaBel – Bota ThunderBel: https://www.thabel.com.br/ Cupom Exclusivo de Desconto: HOJENOMUNDOMILITAR VISITE A ...,3N2UrNATH1o,Hoje no Mundo Militar
"Trump pede que Congresso bloqueie lei que prevê ajuda à Ucrânia – “Sem isso, Putin vencerá”, Ucrânia",Siga o Hoje no Mundo Militar no Spotify: https://open.spotify.com/show/6DtQv1oaCzhIhNX71wvGn9?si=a7414784e4e34bad ...,64njbGIC1BM,Hoje no Mundo Militar
